Tool;View;ChangeSet;RunIndex;Iteration;PhaseName;MetricName;MetricValue
NMF;Q1;1;0;0;Initialization;Time;534274000
NMF;Q1;1;0;0;Initialization;Memory;74055680
NMF;Q1;1;0;0;Load;Time;92011600
NMF;Q1;1;0;0;Load;Memory;77463552
NMF;Q1;1;0;0;Initial;Time;20534400
NMF;Q1;1;0;0;Initial;Memory;77725696
NMF;Q1;1;0;0;Initial;Elements;404236|167197|404315
NMF;Q1;1;0;1;Update;Time;5957500
NMF;Q1;1;0;1;Update;Memory;78217216
NMF;Q1;1;0;1;Update;Elements;404236|167197|404315
NMF;Q1;1;0;2;Update;Time;3064300
NMF;Q1;1;0;2;Update;Memory;78217216
NMF;Q1;1;0;2;Update;Elements;404236|167197|404315
NMF;Q1;1;0;3;Update;Time;1832100
NMF;Q1;1;0;3;Update;Memory;78217216
NMF;Q1;1;0;3;Update;Elements;404236|167197|404315
NMF;Q1;1;0;4;Update;Time;1875000
NMF;Q1;1;0;4;Update;Memory;78217216
NMF;Q1;1;0;4;Update;Elements;167197|404236|404315
NMF;Q1;1;0;5;Update;Time;2116700
NMF;Q1;1;0;5;Update;Memory;78217216
NMF;Q1;1;0;5;Update;Elements;167197|404236|404315
NMF;Q1;1;0;6;Update;Time;2091100
NMF;Q1;1;0;6;Update;Memory;78217216
NMF;Q1;1;0;6;Update;Elements;167197|404236|404315
NMF;Q1;1;0;7;Update;Time;3066400
NMF;Q1;1;0;7;Update;Memory;78217216
NMF;Q1;1;0;7;Update;Elements;167197|404236|404315
NMF;Q1;1;0;8;Update;Time;3084400
NMF;Q1;1;0;8;Update;Memory;78217216
NMF;Q1;1;0;8;Update;Elements;167197|404236|404315
NMF;Q1;1;0;9;Update;Time;2334800
NMF;Q1;1;0;9;Update;Memory;78217216
NMF;Q1;1;0;9;Update;Elements;167197|404236|404315
NMF;Q1;1;0;10;Update;Time;2366300
NMF;Q1;1;0;10;Update;Memory;78217216
NMF;Q1;1;0;10;Update;Elements;167197|404236|404315
NMF;Q1;1;0;11;Update;Time;2513100
NMF;Q1;1;0;11;Update;Memory;78348288
NMF;Q1;1;0;11;Update;Elements;167197|404236|404315
NMF;Q1;1;0;12;Update;Time;2061900
NMF;Q1;1;0;12;Update;Memory;78348288
NMF;Q1;1;0;12;Update;Elements;167197|404236|404315
NMF;Q1;1;0;13;Update;Time;2014900
NMF;Q1;1;0;13;Update;Memory;78348288
NMF;Q1;1;0;13;Update;Elements;404236|167197|404315
NMF;Q1;1;0;14;Update;Time;2107100
NMF;Q1;1;0;14;Update;Memory;78348288
NMF;Q1;1;0;14;Update;Elements;404236|167197|404315
NMF;Q1;1;0;15;Update;Time;4487400
NMF;Q1;1;0;15;Update;Memory;78610432
NMF;Q1;1;0;15;Update;Elements;404236|167197|404315
NMF;Q1;1;0;16;Update;Time;3946500
NMF;Q1;1;0;16;Update;Memory;78610432
NMF;Q1;1;0;16;Update;Elements;404236|167197|404315
NMF;Q1;1;0;17;Update;Time;4277300
NMF;Q1;1;0;17;Update;Memory;78610432
NMF;Q1;1;0;17;Update;Elements;404236|167197|404315
NMF;Q1;1;0;18;Update;Time;7703800
NMF;Q1;1;0;18;Update;Memory;79003648
NMF;Q1;1;0;18;Update;Elements;404236|167197|404315
NMF;Q1;1;0;19;Update;Time;5932500
NMF;Q1;1;0;19;Update;Memory;79396864
NMF;Q1;1;0;19;Update;Elements;404236|167197|404315
NMF;Q1;1;0;20;Update;Time;5088500
NMF;Q1;1;0;20;Update;Memory;79396864
NMF;Q1;1;0;20;Update;Elements;404236|167197|404315
NMF;Q1;1;1;0;Initialization;Time;491558400
NMF;Q1;1;1;0;Initialization;Memory;74579968
NMF;Q1;1;1;0;Load;Time;84158600
NMF;Q1;1;1;0;Load;Memory;77594624
NMF;Q1;1;1;0;Initial;Time;17301400
NMF;Q1;1;1;0;Initial;Memory;77856768
NMF;Q1;1;1;0;Initial;Elements;404236|167197|404315
NMF;Q1;1;1;1;Update;Time;4195800
NMF;Q1;1;1;1;Update;Memory;78274560
NMF;Q1;1;1;1;Update;Elements;404236|167197|404315
NMF;Q1;1;1;2;Update;Time;4434800
